GAME_ID,TEAM_ID,PLAYER_ID,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,PF,PLUS_MINUS
42300404,1610612738,201950,28:33,10.0,3.0,2.0,0.0,1.0,5.0,4.0,10.0,0.4,2.0,4.0,0.5,0.0,0.0,0.0,0.0,3.0,1.0,-38.0
42300404,1610612738,1630214,7:26,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-13.0
42300404,1610612738,1630573,19:52,14.0,4.0,0.0,0.0,0.0,0.0,5.0,7.0,0.714,4.0,6.0,0.667,0.0,0.0,0.0,1.0,3.0,2.0,-20.0
42300404,1610612738,1630202,21:40,11.0,3.0,3.0,0.0,0.0,2.0,5.0,14.0,0.357,1.0,6.0,0.167,0.0,0.0,0.0,0.0,3.0,2.0,-6.0
42300404,1610612738,1629004,9:53,3.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.143,1.0,5.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,-9.0
42300404,1610612738,1628436,9:53,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-9.0
42300404,1610612738,1629052,15:18,7.0,3.0,0.0,0.0,1.0,0.0,2.0,4.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,-2.0
42300404,1610612738,1630531,8:01,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
42300404,1610612738,1629674,5:25,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
42300404,1610612738,1641775,5:25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
42300404,1610612738,204001,,,,,,,,,,,,,,,,,,,,
42300404,1610612742,1627884,16:45,5.0,2.0,0.0,0.0,1.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,3.0,16.0
42300404,1610612742,1629023,13:45,6.0,2.0,0.0,0.0,0.0,2.0,2.0,4.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,0.0,2.0,4.0,11.0
42300404,1610612742,1629655,9:53,7.0,4.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,5.0,6.0,0.833,1.0,3.0,1.0,12.0
42300404,1610612742,202681,30:40,21.0,4.0,6.0,0.0,0.0,1.0,10.0,18.0,0.556,1.0,6.0,0.167,0.0,0.0,0.0,1.0,3.0,1.0,28.0
42300404,1610612742,1629029,32:32,29.0,5.0,5.0,3.0,0.0,1.0,12.0,26.0,0.462,0.0,8.0,0.0,5.0,7.0,0.714,0.0,5.0,3.0,30.0
42300404,1610612742,1641726,22:21,11.0,12.0,0.0,1.0,0.0,0.0,4.0,5.0,0.8,1.0,1.0,1.0,2.0,4.0,0.5,7.0,5.0,0.0,20.0
42300404,1610612742,1630182,18:15,3.0,5.0,1.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,3.0,0.333,2.0,3.0,0.0,16.0
42300404,1610612742,1628467,23:13,5.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,25.0
42300404,1610612742,203957,13:37,10.0,2.0,0.0,1.0,0.0,1.0,4.0,7.0,0.571,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,1.0,15.0
42300404,1610612742,1630702,13:29,5.0,3.0,4.0,0.0,0.0,0.0,2.0,5.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,2.0,3.0
42300404,1610612742,203939,8:04,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,10.0
42300404,1610612742,203501,12:00,15.0,3.0,1.0,0.0,0.0,0.0,5.0,7.0,0.714,5.0,7.0,0.714,0.0,0.0,0.0,0.0,3.0,0.0,6.0
42300404,1610612742,202693,12:00,3.0,4.0,0.0,0.0,0.0,1.0,1.0,5.0,0.2,1.0,3.0,0.333,0.0,0.0,0.0,0.0,4.0,1.0,6.0
42300404,1610612742,1630639,8:01,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
42300404,1610612742,1641765,5:25,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-7.0
42300405,1610612742,1627884,22:20,10.0,0.0,0.0,0.0,1.0,0.0,4.0,8.0,0.5,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,-8.0
42300405,1610612742,1629023,34:29,4.0,6.0,3.0,0.0,2.0,4.0,2.0,7.0,0.286,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,-26.0
42300405,1610612742,1629655,10:54,6.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,-7.0
42300405,1610612742,202681,41:07,15.0,3.0,9.0,1.0,0.0,1.0,5.0,16.0,0.313,3.0,9.0,0.333,2.0,2.0,1.0,1.0,2.0,2.0,-11.0
42300405,1610612742,1629029,43:23,28.0,12.0,5.0,3.0,0.0,7.0,12.0,25.0,0.48,2.0,9.0,0.222,2.0,5.0,0.4,0.0,12.0,3.0,-19.0
