GAME_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_ID,PLAYER_NAME,START_POSITION,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,PF,PLUS_MINUS,EFFICIENCY,TRUE_SHOOTING_PCT,AST_TO_RATIO,THREE_POINT_RATE,FREE_THROW_RATE
42500402,1610612759,SAS,1642868,Carter Bryant,,3:28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.0,,0.0,,
42500402,1610612759,SAS,203084,Harrison Barnes,,4:51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,,,,
42500402,1610612759,SAS,202687,Bismack Biyombo,,,,,,,,,,,,,,,,,,,,,,,,,,
42500402,1610612759,SAS,1629162,Jordan McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,,,
42500402,1610612759,SAS,203482,Kelly Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,
42500402,1610612759,SAS,203486,Mason Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,,
42500402,1610612759,SAS,1630322,Lindy Waters III,,,,,,,,,,,,,,,,,,,,,,,,,,
42500403,1610612759,SAS,1630577,Julian Champagnie,F,26:40,12.0,1.0,3.0,1.0,0.0,0.0,4.0,9.0,0.444,3.0,7.0,0.429,1.0,2.0,0.5,0.0,1.0,1.0,8.0,11.0,0.6072874493927125,,0.7777777777777778,0.2222222222222222
42500403,1610612759,SAS,1630170,Devin Vassell,F,38:04,11.0,4.0,0.0,0.0,0.0,1.0,3.0,4.0,0.75,3.0,4.0,0.75,2.0,3.0,0.667,0.0,4.0,3.0,12.0,12.0,1.0338345864661653,0.0,1.0,0.75
42500403,1610612759,SAS,1641705,Victor Wembanyama,C,38:44,32.0,8.0,6.0,2.0,3.0,1.0,11.0,18.0,0.611,2.0,4.0,0.5,8.0,9.0,0.889,1.0,7.0,3.0,7.0,42.0,0.7285974499089253,6.0,0.2222222222222222,0.5
42500403,1610612759,SAS,1642264,Stephon Castle,G,38:02,23.0,5.0,5.0,1.0,1.0,2.0,8.0,14.0,0.571,2.0,5.0,0.4,5.0,6.0,0.833,1.0,4.0,4.0,6.0,26.0,0.6911057692307692,2.5,0.35714285714285715,0.42857142857142855
42500403,1610612759,SAS,1628368,De'Aaron Fox,G,36:41,12.0,3.0,8.0,1.0,2.0,2.0,4.0,14.0,0.286,0.0,5.0,0.0,4.0,4.0,1.0,0.0,3.0,3.0,-7.0,14.0,0.3807106598984772,4.0,0.35714285714285715,0.2857142857142857
42500403,1610612759,SAS,1642844,Dylan Harper,,32:00,13.0,9.0,4.0,0.0,0.0,0.0,5.0,18.0,0.278,1.0,8.0,0.125,2.0,2.0,1.0,1.0,8.0,1.0,-8.0,13.0,0.3442796610169492,,0.4444444444444444,0.1111111111111111
42500403,1610612759,SAS,1629640,Keldon Johnson,,16:45,7.0,2.0,0.0,1.0,0.0,2.0,3.0,5.0,0.6,0.0,0.0,0.0,1.0,4.0,0.25,0.0,2.0,3.0,14.0,3.0,0.5177514792899408,0.0,0.0,0.8
42500403,1610612759,SAS,1628436,Luke Kornet,,9:16,2.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,1.0,-3.0,9.0,0.5319148936170213,,0.0,2.0
42500403,1610612759,SAS,1642868,Carter Bryant,,3:48,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-9.0,4.0,1.5,,1.0,0.0
42500403,1610612759,SAS,203084,Harrison Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
42500403,1610612759,SAS,202687,Bismack Biyombo,,,,,,,,,,,,,,,,,,,,,,,,,,
42500403,1610612759,SAS,1629162,Jordan McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,,,
42500403,1610612759,SAS,203482,Kelly Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,
42500403,1610612759,SAS,203486,Mason Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,,
42500403,1610612759,SAS,1630322,Lindy Waters III,,,,,,,,,,,,,,,,,,,,,,,,,,
42500403,1610612752,NYK,1628384,OG Anunoby,F,37:57,28.0,5.0,1.0,0.0,2.0,1.0,9.0,13.0,0.692,3.0,7.0,0.429,7.0,9.0,0.778,0.0,5.0,2.0,-3.0,29.0,0.8254716981132075,1.0,0.5384615384615384,0.6923076923076923
42500403,1610612752,NYK,1628404,Josh Hart,F,34:55,16.0,9.0,5.0,0.0,0.0,2.0,6.0,10.0,0.6,4.0,7.0,0.571,0.0,0.0,0.0,1.0,8.0,2.0,-7.0,24.0,0.8,2.5,0.7,0.0
42500403,1610612752,NYK,1626157,Karl-Anthony Towns,C,38:02,11.0,8.0,1.0,3.0,2.0,1.0,4.0,10.0,0.4,0.0,2.0,0.0,3.0,3.0,1.0,2.0,6.0,4.0,6.0,18.0,0.48586572438162545,1.0,0.2,0.3
42500403,1610612752,NYK,1628969,Mikal Bridges,G,28:43,2.0,5.0,2.0,0.0,1.0,1.0,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,11.0,5.0,0.2,2.0,0.6,0.0
42500403,1610612752,NYK,1628973,Jalen Brunson,G,35:27,32.0,5.0,5.0,0.0,0.0,5.0,11.0,25.0,0.44,3.0,5.0,0.6,7.0,8.0,0.875,2.0,3.0,5.0,-9.0,22.0,0.5610098176718092,1.0,0.2,0.32
