GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0042500402,1610612759,SAS,San Antonio,1630322,Lindy Waters III,Lindy,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500403,1610612759,SAS,San Antonio,1630577,Julian Champagnie,Julian,F,,26:40,4.0,9.0,0.444,3.0,7.0,0.429,1.0,2.0,0.5,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,12.0,8.0
0042500403,1610612759,SAS,San Antonio,1630170,Devin Vassell,Devin,F,,38:04,3.0,4.0,0.75,3.0,4.0,0.75,2.0,3.0,0.667,0.0,4.0,4.0,0.0,0.0,0.0,1.0,3.0,11.0,12.0
0042500403,1610612759,SAS,San Antonio,1641705,Victor Wembanyama,Victor,C,,38:44,11.0,18.0,0.611,2.0,4.0,0.5,8.0,9.0,0.889,1.0,7.0,8.0,6.0,2.0,3.0,1.0,3.0,32.0,7.0
0042500403,1610612759,SAS,San Antonio,1642264,Stephon Castle,Stephon,G,,38:02,8.0,14.0,0.571,2.0,5.0,0.4,5.0,6.0,0.833,1.0,4.0,5.0,5.0,1.0,1.0,2.0,4.0,23.0,6.0
0042500403,1610612759,SAS,San Antonio,1628368,De'Aaron Fox,De'Aaron,G,,36:41,4.0,14.0,0.286,0.0,5.0,0.0,4.0,4.0,1.0,0.0,3.0,3.0,8.0,1.0,2.0,2.0,3.0,12.0,-7.0
0042500403,1610612759,SAS,San Antonio,1642844,Dylan Harper,Dylan,,,32:00,5.0,18.0,0.278,1.0,8.0,0.125,2.0,2.0,1.0,1.0,8.0,9.0,4.0,0.0,0.0,0.0,1.0,13.0,-8.0
0042500403,1610612759,SAS,San Antonio,1629640,Keldon Johnson,Keldon,,,16:45,3.0,5.0,0.6,0.0,0.0,0.0,1.0,4.0,0.25,0.0,2.0,2.0,0.0,1.0,0.0,2.0,3.0,7.0,14.0
0042500403,1610612759,SAS,San Antonio,1628436,Luke Kornet,Luke,,,9:16,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,5.0,2.0,1.0,0.0,0.0,1.0,2.0,-3.0
0042500403,1610612759,SAS,San Antonio,1642868,Carter Bryant,Carter,,,3:48,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,-9.0
0042500403,1610612759,SAS,San Antonio,203084,Harrison Barnes,Harrison,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500403,1610612759,SAS,San Antonio,202687,Bismack Biyombo,Bismack,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500403,1610612759,SAS,San Antonio,1629162,Jordan McLaughlin,Jordan,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500403,1610612759,SAS,San Antonio,203482,Kelly Olynyk,Kelly,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500403,1610612759,SAS,San Antonio,203486,Mason Plumlee,Mason,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500403,1610612759,SAS,San Antonio,1630322,Lindy Waters III,Lindy,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500403,1610612752,NYK,New York,1628384,OG Anunoby,OG,F,,37:57,9.0,13.0,0.692,3.0,7.0,0.429,7.0,9.0,0.778,0.0,5.0,5.0,1.0,0.0,2.0,1.0,2.0,28.0,-3.0
0042500403,1610612752,NYK,New York,1628404,Josh Hart,Josh,F,,34:55,6.0,10.0,0.6,4.0,7.0,0.571,0.0,0.0,0.0,1.0,8.0,9.0,5.0,0.0,0.0,2.0,2.0,16.0,-7.0
